Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_21452	2	7
SRR2075686_rloop_peak_25530	2	7
SRR2075686_rloop_peak_6422	3	7
SRR2075686_rloop_peak_26300	2	7
SRR2075686_rloop_peak_13122	2	7
SRR2075686_rloop_peak_15049	1	7
SRR2075686_rloop_peak_3936	1	7
SRR2075686_rloop_peak_5075	1	7
SRR2075686_rloop_peak_27264	1	7
SRR2075686_rloop_peak_23143	1	7
SRR2075686_rloop_peak_7541	2	6
SRR2075686_rloop_peak_13650	2	6
SRR2075686_rloop_peak_1952	2	6
SRR2075686_rloop_peak_28660	1	6
SRR2075686_rloop_peak_28562	1	6
SRR2075686_rloop_peak_15369	5	5
SRR2075686_rloop_peak_12024	2	5
SRR2075686_rloop_peak_5837	2	5
SRR2075686_rloop_peak_14314	1	5
SRR2075686_rloop_peak_9989	1	5
SRR2075686_rloop_peak_20853	1	4
SRR2075686_rloop_peak_12564	1	4
SRR2075686_rloop_peak_14763	0	3
SRR2075686_rloop_peak_19122	0	3
SRR2075686_rloop_peak_29155	0	3
SRR2075686_rloop_peak_10399	0	3
SRR2075686_rloop_peak_29157	0	2
SRR2075686_rloop_peak_20790	0	2
SRR2075686_rloop_peak_8154	0	2
SRR2075686_rloop_peak_12310	0	2
SRR2075686_rloop_peak_131	0	2
SRR2075686_rloop_peak_13217	0	2
SRR2075686_rloop_peak_560	0	2
SRR2075686_rloop_peak_29121	0	2
SRR2075686_rloop_peak_10968	0	2
SRR2075686_rloop_peak_28476	0	1
SRR2075686_rloop_peak_26854	0	1
SRR2075686_rloop_peak_27823	0	1
SRR2075686_rloop_peak_312	0	1
SRR2075686_rloop_peak_28477	0	1
SRR2075686_rloop_peak_29156	0	1
SRR2075686_rloop_peak_27826	0	1
SRR2075686_rloop_peak_29122	0	1
SRR2075686_rloop_peak_9397	0	1
SRR2075686_rloop_peak_7030	0	1
SRR2075686_rloop_peak_29147	0	1
SRR2075686_rloop_peak_29123	0	1
SRR2075686_rloop_peak_28576	0	1
SRR2075686_rloop_peak_25921	0	1
SRR2075686_rloop_peak_25793	0	1
SRR2075686_rloop_peak_21759	0	1
SRR2075686_rloop_peak_16780	0	1
SRR2075686_rloop_peak_7945	0	1
SRR2075686_rloop_peak_7675	0	1
SRR2075686_rloop_peak_7581	0	1
SRR2075686_rloop_peak_7558	0	1
SRR2075686_rloop_peak_4904	0	1
SRR2075686_rloop_peak_29159	0	1
SRR2075686_rloop_peak_29124	0	1
SRR2075686_rloop_peak_28850	0	1
SRR2075686_rloop_peak_28849	0	1
SRR2075686_rloop_peak_28730	0	1
SRR2075686_rloop_peak_28659	0	1
SRR2075686_rloop_peak_28657	0	1
SRR2075686_rloop_peak_28382	0	1
SRR2075686_rloop_peak_27974	0	1
SRR2075686_rloop_peak_27827	0	1
SRR2075686_rloop_peak_26482	0	1
SRR2075686_rloop_peak_26292	0	1
SRR2075686_rloop_peak_26270	0	1
SRR2075686_rloop_peak_26186	0	1
SRR2075686_rloop_peak_25642	0	1
SRR2075686_rloop_peak_2474	0	1
SRR2075686_rloop_peak_24000	0	1
SRR2075686_rloop_peak_23930	0	1
SRR2075686_rloop_peak_22427	0	1
SRR2075686_rloop_peak_21107	0	1
SRR2075686_rloop_peak_20882	0	1
SRR2075686_rloop_peak_19640	0	1
SRR2075686_rloop_peak_1872	0	1
SRR2075686_rloop_peak_17058	0	1
SRR2075686_rloop_peak_15363	0	1
SRR2075686_rloop_peak_13216	0	1
SRR2075686_rloop_peak_12375	0	1
SRR2075686_rloop_peak_10116	0	1
