Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_3590	0	1
SRR2075686_rloop_peak_3426	0	1
SRR2075686_rloop_peak_3289	0	1
SRR2075686_rloop_peak_3168	0	1
SRR2075686_rloop_peak_3148	0	1
SRR2075686_rloop_peak_3103	0	1
SRR2075686_rloop_peak_308	0	1
SRR2075686_rloop_peak_2954	0	1
SRR2075686_rloop_peak_2931	0	1
SRR2075686_rloop_peak_289	0	1
SRR2075686_rloop_peak_28768	0	1
SRR2075686_rloop_peak_28642	0	1
SRR2075686_rloop_peak_28638	0	1
SRR2075686_rloop_peak_28637	0	1
SRR2075686_rloop_peak_28627	0	1
SRR2075686_rloop_peak_28600	0	1
SRR2075686_rloop_peak_28584	0	1
SRR2075686_rloop_peak_28582	0	1
SRR2075686_rloop_peak_28581	0	1
SRR2075686_rloop_peak_28580	0	1
SRR2075686_rloop_peak_28575	0	1
SRR2075686_rloop_peak_28568	0	1
SRR2075686_rloop_peak_28316	0	1
SRR2075686_rloop_peak_28267	0	1
SRR2075686_rloop_peak_28208	0	1
SRR2075686_rloop_peak_28175	0	1
SRR2075686_rloop_peak_28049	0	1
SRR2075686_rloop_peak_27956	0	1
SRR2075686_rloop_peak_27837	0	1
SRR2075686_rloop_peak_27830	0	1
SRR2075686_rloop_peak_27695	0	1
SRR2075686_rloop_peak_27508	0	1
SRR2075686_rloop_peak_2747	0	1
SRR2075686_rloop_peak_27355	0	1
SRR2075686_rloop_peak_27232	0	1
SRR2075686_rloop_peak_27229	0	1
SRR2075686_rloop_peak_27202	0	1
SRR2075686_rloop_peak_27101	0	1
SRR2075686_rloop_peak_27002	0	1
SRR2075686_rloop_peak_26965	0	1
SRR2075686_rloop_peak_26957	0	1
SRR2075686_rloop_peak_2691	0	1
SRR2075686_rloop_peak_26808	0	1
SRR2075686_rloop_peak_26658	0	1
SRR2075686_rloop_peak_26504	0	1
SRR2075686_rloop_peak_26320	0	1
SRR2075686_rloop_peak_2630	0	1
SRR2075686_rloop_peak_26160	0	1
SRR2075686_rloop_peak_26063	0	1
SRR2075686_rloop_peak_2600	0	1
SRR2075686_rloop_peak_2585	0	1
SRR2075686_rloop_peak_25742	0	1
SRR2075686_rloop_peak_25667	0	1
SRR2075686_rloop_peak_2566	0	1
SRR2075686_rloop_peak_25603	0	1
SRR2075686_rloop_peak_25593	0	1
SRR2075686_rloop_peak_25496	0	1
SRR2075686_rloop_peak_25437	0	1
SRR2075686_rloop_peak_25370	0	1
SRR2075686_rloop_peak_2531	0	1
SRR2075686_rloop_peak_25034	0	1
SRR2075686_rloop_peak_25023	0	1
SRR2075686_rloop_peak_2492	0	1
SRR2075686_rloop_peak_24778	0	1
SRR2075686_rloop_peak_24754	0	1
SRR2075686_rloop_peak_2469	0	1
SRR2075686_rloop_peak_24606	0	1
SRR2075686_rloop_peak_24592	0	1
SRR2075686_rloop_peak_24562	0	1
SRR2075686_rloop_peak_24290	0	1
SRR2075686_rloop_peak_24289	0	1
SRR2075686_rloop_peak_24198	0	1
SRR2075686_rloop_peak_23993	0	1
SRR2075686_rloop_peak_23990	0	1
SRR2075686_rloop_peak_2395	0	1
SRR2075686_rloop_peak_23914	0	1
SRR2075686_rloop_peak_2375	0	1
SRR2075686_rloop_peak_23722	0	1
SRR2075686_rloop_peak_23720	0	1
SRR2075686_rloop_peak_23690	0	1
SRR2075686_rloop_peak_23670	0	1
SRR2075686_rloop_peak_23649	0	1
SRR2075686_rloop_peak_23529	0	1
SRR2075686_rloop_peak_23482	0	1
SRR2075686_rloop_peak_23463	0	1
SRR2075686_rloop_peak_23461	0	1
SRR2075686_rloop_peak_23355	0	1
SRR2075686_rloop_peak_23323	0	1
SRR2075686_rloop_peak_2315	0	1
SRR2075686_rloop_peak_23123	0	1
SRR2075686_rloop_peak_2310	0	1
SRR2075686_rloop_peak_23051	0	1
SRR2075686_rloop_peak_23049	0	1
SRR2075686_rloop_peak_22961	0	1
SRR2075686_rloop_peak_22801	0	1
SRR2075686_rloop_peak_2274	0	1
SRR2075686_rloop_peak_22689	0	1
SRR2075686_rloop_peak_22683	0	1
SRR2075686_rloop_peak_22647	0	1
SRR2075686_rloop_peak_22391	0	1
SRR2075686_rloop_peak_22382	0	1
SRR2075686_rloop_peak_22195	0	1
SRR2075686_rloop_peak_22193	0	1
SRR2075686_rloop_peak_22180	0	1
SRR2075686_rloop_peak_2217	0	1
SRR2075686_rloop_peak_22110	0	1
SRR2075686_rloop_peak_2205	0	1
SRR2075686_rloop_peak_22029	0	1
SRR2075686_rloop_peak_21959	0	1
SRR2075686_rloop_peak_21870	0	1
SRR2075686_rloop_peak_21673	0	1
SRR2075686_rloop_peak_21497	0	1
SRR2075686_rloop_peak_21358	0	1
SRR2075686_rloop_peak_21322	0	1
SRR2075686_rloop_peak_21275	0	1
SRR2075686_rloop_peak_21230	0	1
SRR2075686_rloop_peak_21071	0	1
SRR2075686_rloop_peak_20874	0	1
SRR2075686_rloop_peak_20818	0	1
SRR2075686_rloop_peak_20707	0	1
SRR2075686_rloop_peak_2066	0	1
SRR2075686_rloop_peak_20575	0	1
SRR2075686_rloop_peak_20427	0	1
SRR2075686_rloop_peak_20426	0	1
SRR2075686_rloop_peak_20375	0	1
SRR2075686_rloop_peak_20095	0	1
SRR2075686_rloop_peak_20005	0	1
SRR2075686_rloop_peak_20001	0	1
SRR2075686_rloop_peak_19997	0	1
SRR2075686_rloop_peak_19963	0	1
SRR2075686_rloop_peak_199	0	1
SRR2075686_rloop_peak_19898	0	1
SRR2075686_rloop_peak_19850	0	1
SRR2075686_rloop_peak_19596	0	1
SRR2075686_rloop_peak_19471	0	1
SRR2075686_rloop_peak_19284	0	1
SRR2075686_rloop_peak_19272	0	1
SRR2075686_rloop_peak_19089	0	1
SRR2075686_rloop_peak_19060	0	1
SRR2075686_rloop_peak_18975	0	1
SRR2075686_rloop_peak_18883	0	1
SRR2075686_rloop_peak_18875	0	1
SRR2075686_rloop_peak_18817	0	1
SRR2075686_rloop_peak_18676	0	1
SRR2075686_rloop_peak_18653	0	1
SRR2075686_rloop_peak_18460	0	1
SRR2075686_rloop_peak_18450	0	1
SRR2075686_rloop_peak_18398	0	1
SRR2075686_rloop_peak_18380	0	1
SRR2075686_rloop_peak_18130	0	1
SRR2075686_rloop_peak_18100	0	1
SRR2075686_rloop_peak_18061	0	1
SRR2075686_rloop_peak_17896	0	1
SRR2075686_rloop_peak_17843	0	1
SRR2075686_rloop_peak_17762	0	1
SRR2075686_rloop_peak_17755	0	1
SRR2075686_rloop_peak_17747	0	1
SRR2075686_rloop_peak_1754	0	1
SRR2075686_rloop_peak_17326	0	1
SRR2075686_rloop_peak_17121	0	1
SRR2075686_rloop_peak_17110	0	1
SRR2075686_rloop_peak_17059	0	1
SRR2075686_rloop_peak_17046	0	1
SRR2075686_rloop_peak_16874	0	1
SRR2075686_rloop_peak_16863	0	1
SRR2075686_rloop_peak_16862	0	1
SRR2075686_rloop_peak_168	0	1
SRR2075686_rloop_peak_16728	0	1
SRR2075686_rloop_peak_167	0	1
SRR2075686_rloop_peak_16604	0	1
SRR2075686_rloop_peak_166	0	1
SRR2075686_rloop_peak_16587	0	1
SRR2075686_rloop_peak_16510	0	1
SRR2075686_rloop_peak_16343	0	1
SRR2075686_rloop_peak_16287	0	1
SRR2075686_rloop_peak_16240	0	1
SRR2075686_rloop_peak_16215	0	1
SRR2075686_rloop_peak_16041	0	1
SRR2075686_rloop_peak_15960	0	1
SRR2075686_rloop_peak_1592	0	1
SRR2075686_rloop_peak_15766	0	1
SRR2075686_rloop_peak_15726	0	1
SRR2075686_rloop_peak_1554	0	1
SRR2075686_rloop_peak_15450	0	1
SRR2075686_rloop_peak_15385	0	1
SRR2075686_rloop_peak_1535	0	1
SRR2075686_rloop_peak_15161	0	1
SRR2075686_rloop_peak_14977	0	1
SRR2075686_rloop_peak_14816	0	1
SRR2075686_rloop_peak_14772	0	1
SRR2075686_rloop_peak_1473	0	1
SRR2075686_rloop_peak_14659	0	1
SRR2075686_rloop_peak_1461	0	1
SRR2075686_rloop_peak_14541	0	1
SRR2075686_rloop_peak_14289	0	1
SRR2075686_rloop_peak_14277	0	1
SRR2075686_rloop_peak_14203	0	1
SRR2075686_rloop_peak_14184	0	1
SRR2075686_rloop_peak_14149	0	1
SRR2075686_rloop_peak_1372	0	1
SRR2075686_rloop_peak_13719	0	1
SRR2075686_rloop_peak_13620	0	1
SRR2075686_rloop_peak_13578	0	1
SRR2075686_rloop_peak_13391	0	1
SRR2075686_rloop_peak_13379	0	1
SRR2075686_rloop_peak_1334	0	1
SRR2075686_rloop_peak_13316	0	1
SRR2075686_rloop_peak_13260	0	1
SRR2075686_rloop_peak_12921	0	1
SRR2075686_rloop_peak_12846	0	1
SRR2075686_rloop_peak_12721	0	1
SRR2075686_rloop_peak_12697	0	1
SRR2075686_rloop_peak_12587	0	1
SRR2075686_rloop_peak_12541	0	1
SRR2075686_rloop_peak_12407	0	1
SRR2075686_rloop_peak_12388	0	1
SRR2075686_rloop_peak_1238	0	1
SRR2075686_rloop_peak_12278	0	1
SRR2075686_rloop_peak_12004	0	1
SRR2075686_rloop_peak_11791	0	1
SRR2075686_rloop_peak_11661	0	1
SRR2075686_rloop_peak_11635	0	1
SRR2075686_rloop_peak_11597	0	1
SRR2075686_rloop_peak_11586	0	1
SRR2075686_rloop_peak_11531	0	1
SRR2075686_rloop_peak_1143	0	1
SRR2075686_rloop_peak_11366	0	1
SRR2075686_rloop_peak_11218	0	1
SRR2075686_rloop_peak_1103	0	1
SRR2075686_rloop_peak_11010	0	1
SRR2075686_rloop_peak_10937	0	1
SRR2075686_rloop_peak_10756	0	1
SRR2075686_rloop_peak_10755	0	1
SRR2075686_rloop_peak_10693	0	1
SRR2075686_rloop_peak_10675	0	1
SRR2075686_rloop_peak_10445	0	1
SRR2075686_rloop_peak_10444	0	1
SRR2075686_rloop_peak_10420	0	1
SRR2075686_rloop_peak_10413	0	1
SRR2075686_rloop_peak_10408	0	1
SRR2075686_rloop_peak_10298	0	1
SRR2075686_rloop_peak_10256	0	1
SRR2075686_rloop_peak_10208	0	1
SRR2075686_rloop_peak_10158	0	1
SRR2075686_rloop_peak_10049	0	1
SRR2075686_rloop_peak_10033	0	1
SRR2075686_rloop_peak_9990	0	1
